agency_name,received_in_rp,outstanding_from_prev_rp,statutorytimeline,total_for_rp,closed_in_rp,carried_over_to_rp,media,academia,business,organization,public,declined_to_identify,abandoned_in_rp,neither_confirm_nor_deny,s13exemp,s15exemp,s16exemp,s20exemp,fiscal_year,people_years,total_costs
Office of the Public Sector Integrity Commissioner of Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.09,22475
Office of the Superintendent of Financial Institutions Canada,33,13,15,46,34,12,7,0,17,1,8,0,3,0,7,5,12,52,2018-2019,4.6,389281
Old Port of Montreal,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2018-2019,0.05,5000
Oshawa Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Pacific Pilotage Authority Canada,6,0,5,6,6,0,0,1,1,0,4,0,0,0,0,0,0,0,2018-2019,0.01,1800
Parc Downsview Park Inc.,2,1,1,3,3,0,0,0,2,0,0,0,0,0,0,0,0,7,2018-2019,0.2,22000
Parks Canada Agency,237,35,146,272,243,29,22,4,62,15,80,54,10,0,2,0,38,57,2018-2019,11,1092005
Parole Board of Canada,35,1,34,36,35,1,8,0,5,12,10,0,1,0,0,0,2,5,2018-2019,0.7,51122
Patented Medicine Prices Review Board,17,1,13,18,17,1,2,0,2,11,2,0,0,0,0,0,0,2,2018-2019,1,50000
Pierre Eliott Trudeau Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.1,3025
Polar Knowledge Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Port Alberni Port Authority,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2018-2019,0.75,50517
Prince Rupert Port Authority,4,0,0,4,1,3,0,0,1,3,0,0,0,0,0,0,1,2,2018-2019,0.4,35000
Privy Council Office,578,279,234,857,632,225,300,66,51,69,92,0,34,1,54,253,243,238,2018-2019,30,2140209
Public Health Agency of Canada,99,70,54,169,109,60,27,5,14,3,33,17,22,1,11,8,23,40,2018-2019,3.61,371713
Public Prosecution Service of Canada,54,6,30,60,42,18,25,3,6,3,7,10,3,2,2,1,7,3,2018-2019,2.45,217213
Public Safety Canada,473,93,260,566,467,99,197,23,11,24,44,174,35,0,59,206,180,66,2018-2019,11.78,986644
Public Sector Pension Investment Board,6,3,2,9,6,3,3,0,1,0,0,2,2,0,0,0,0,3,2018-2019,0.66,56502
Public Service Commission of Canada,75,6,64,81,77,4,11,2,17,2,40,3,15,0,0,0,5,12,2018-2019,1.99,148018
Public Services and Procurement Canada,1144,328,543,1472,1178,294,355,14,220,50,300,205,132,1,7,67,56,431,2018-2019,33.91,4029347
Quebec Port Authority,10,0,4,10,10,0,4,0,0,3,3,0,3,0,0,0,0,3,2018-2019,0.1,11000
RCMH-MRCF Inc. (Royal Canadian Mint),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Revera Inc. (Public Sector Pension Investment Board),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.1,20200
Ridley Terminals Inc.,7,0,0,7,0,7,0,0,0,0,7,0,0,0,0,0,0,0,2018-2019,0.05,13900
Royal Canadian Mint,12,6,6,18,13,5,1,1,1,2,2,5,2,0,0,0,1,10,2018-2019,1.35,116350
Royal Canadian Mounted Police,4436,3428,1101,7864,4176,3688,305,80,940,152,2618,341,862,23,346,26,1047,27,2018-2019,37,2978085
Royal Canadian Mounted Police External Review Committee,4,0,4,4,4,0,1,0,0,0,3,0,0,0,0,0,0,0,2018-2019,0.05,6000
Saguenay Port Authority,2,0,1,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0,2018-2019,0.02,2000
Sahtu Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Sahtu Land Use Planning Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Saint John Port Authority,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,2018-2019,1,78000
Seaway International Bridge Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.05,0
Security Intelligence Review Committee,3,0,0,3,1,2,1,0,1,0,1,0,0,0,0,0,1,0,2018-2019,2,60638
Sept-ÃŽles Port Authority,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2018-2019,0.1,11500
Shared Services Canada,312,42,210,354,332,22,139,3,53,5,73,39,22,0,0,15,84,113,2018-2019,14.75,1200098
Social Sciences and Humanities Research Council,36,0,25,36,29,7,2,6,15,1,12,0,0,0,0,0,2,15,2018-2019,0.8,68883
St. John's Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Standards Council of Canada,89,24,24,113,91,22,32,4,51,0,2,0,0,0,40,22,29,32,2018-2019,2.25,377869
Statistics Canada,154,12,104,166,128,38,30,14,19,5,86,0,9,0,0,1,9,28,2018-2019,1.06,88204
Sustainable Development Technology Canada,7,0,5,7,6,1,4,0,3,0,0,0,4,1,0,0,0,3,2018-2019,0.4,71611
Telefilm Canada,2,9,0,11,10,1,0,0,2,0,0,0,1,0,8,8,1,10,2018-2019,0.86,71046
The Fund for Railway Accidents Involving Designated Goods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.02,1699
The National Battlefields Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Thunder Bay Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0.01,250
Toronto Port Authority,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2018-2019,0.3,2500
Transport Canada,1076,414,612,1490,1080,410,396,23,228,65,214,150,221,1,42,126,162,339,2018-2019,19.38,1504006
Transportation Safety Board of Canada,88,15,45,103,73,30,16,2,47,3,20,0,4,0,6,0,8,43,2018-2019,4.18,368021
Treasury Board of Canada Secretariat,564,150,175,714,518,196,283,11,43,31,111,85,31,0,0,30,40,89,2018-2019,15.81,939864
Trois-RiviÃ¨res Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Vancouver Fraser Port Authority,9,1,7,10,9,1,1,0,3,0,5,0,0,0,0,0,1,4,2018-2019,1.1,45000
Veterans Affairs Canada,364,23,286,387,349,38,50,3,26,9,249,27,26,1,0,0,42,37,2018-2019,8.49,649767
Veterans Review and Appeal Board,8,0,6,8,6,2,1,0,0,0,5,2,0,0,0,0,0,0,2018-2019,0.75,53087
VIA Rail Canada,21,3,7,24,18,6,10,0,4,0,7,0,0,0,0,0,3,7,2018-2019,0.5,51650
Western Economic Diversification Canada,15,0,3,15,10,5,8,0,3,3,1,0,1,0,1,0,0,11,2018-2019,1.1,99051
Windsor Port Authority,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
Windsor-Detroit Bridge Authority,3,3,0,6,0,6,0,0,2,0,1,0,0,0,0,0,0,0,2018-2019,0.45,27041
Yukon Environment Socio-Economic Assessment Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,1,0
Yukon Surface Rights Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,0,0
